year,award,movie,nominee,winner,actor_in_a_leading_role_nomination,actor_in_a_supporting_role_nomination,actress_in_a_leading_role_nomination,actress_in_a_supporting_role_nomination,directing_nomination,cinematography_nomination,year_film,year_film2,year_film3,tconst,primarytitle,startyear,runtimeminutes,averagerating,numvotes,directors,writers,director,nconst_x,birthyear,dir_age,nconst_y,is_woman,name,release_day,rating,metascore,budget,opening_wk,opening_usa_day,gross,world,release_month,release_day_of_month,winner_bool,biography,drama,comedy,adventure,film-noir,mystery,action,crime,horror,family,animation,western,documentary,romance,fantasy,thriller,war,history,music,sport,musical,sci-fi,cpi_multiplier,n_globes
1943,BEST PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver,1.0,1,1,1,1,1,0,1942,1941,1940,tt0035093,Mrs. Miniver,1942.0,134.0,7.6,14607.0,nm0943758,"nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295",nm0943758,nm0943758,1902.0,41.0,nm0943758,0,Mrs. Miniver,1942-12-01,Not Rated,,20017806.390532546,,,,,12,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1947,BEST PICTURE,Samuel Goldwyn Productions,The Best Years Of Our Lives,1.0,1,1,0,0,1,0,1946,1945,1944,tt0036868,The Best Years Of Our Lives,1946.0,170.0,8.0,54272.0,nm0943758,"nm0792845,nm0437969",nm0943758,nm0943758,1902.0,45.0,nm0943758,0,The Best Years of Our Lives,1947-05-29,Approved,92.0,24585823.255813956,,,276883200.00000006,276960703.88093024,5,29,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.707534883720932,1.0
1950,BEST PICTURE,Paramount,The Heiress,,0,1,1,0,1,0,1949,1948,1947,tt0041452,The Heiress,1949.0,115.0,8.2,12250.0,nm0943758,"nm0324537,nm0324499,nm0416556",nm0943758,nm0943758,1902.0,48.0,nm0943758,0,The Heiress,1949-12-28,Not Rated,,27848987.234042555,,,,,12,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.711148936170213,3.0
1954,BEST PICTURE,"William Wyler, Producer",Roman Holiday,,0,1,1,0,1,0,1953,1952,1951,tt0046250,Roman Holiday,1953.0,118.0,8.0,119677.0,nm0943758,"nm0402848,nm0226538,nm0874308",nm0943758,nm0943758,1902.0,52.0,nm0943758,0,Roman Holiday,1953-09-02,Not Rated,78.0,14035985.130111527,,,,,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.357323420074351,1.0
1957,BEST PICTURE,"William Wyler, Producer",Friendly Persuasion,,0,1,0,0,1,0,1956,1955,1954,tt0049233,Friendly Persuasion,1956.0,137.0,7.4,5930.0,nm0943758,"nm0922143,nm0933858",nm0943758,nm0943758,1902.0,55.0,nm0943758,0,Friendly Persuasion,1956-11-25,Passed,,27360000.000000004,,,,,11,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.120000000000001,4.0
1960,BEST PICTURE,"Sam Zimbalist, Producer",Ben-Hur,1.0,1,1,0,0,1,0,1959,1958,1957,tt0052618,Ben-Hur,1959.0,212.0,8.1,205705.0,nm0943758,"nm0908753,nm0876562,nm0000683,nm0027173,nm0067103,nm0296737",nm0943758,nm0943758,1902.0,58.0,nm0943758,0,Ben-Hur,1960-01-29,G,90.0,128862798.63481231,2077199.5871672358,14 April 2019,639353823.5107168,639396915.2305803,1,29,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.59085324232082,4.0
1969,BEST PICTURE,"Ray Stark, Producer",Funny Girl,,0,0,1,1,0,1,1968,1967,1966,tt0062994,Funny Girl,1968.0,151.0,7.4,17240.0,nm0943758,nm0501973,nm0943758,nm0943758,1902.0,67.0,nm0943758,0,Funny Girl,1968-09-19,G,89.0,99694921.34831461,463546.0314606742,3 September 2001,369248112.35595506,369254878.8835955,9,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.070561797752809,3.0
1942,BEST PICTURE,Warner Brothers,The Maltese Falcon,,0,1,0,0,0,0,1941,1940,1939,tt0033870,The Maltese Falcon,1941.0,100.0,8.0,142693.0,nm0001379,"nm0001379,nm0358591",nm0001379,nm0001379,1906.0,36.0,nm0001379,0,The Maltese Falcon,1941-10-18,Not Rated,96.0,6012229.299363058,,,,20120.927388535034,10,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1949,BEST PICTURE,Warner Brothers,The Treasure Of The Sierra Madre,,0,1,0,0,1,0,1948,1947,1946,tt0040897,The Treasure Of The Sierra Madre,1948.0,126.0,8.2,106146.0,nm0001379,"nm0001379,nm0871252",nm0001379,nm0001379,1906.0,43.0,nm0001379,0,The Treasure of the Sierra Madre,1948-01-24,Passed,98.0,31464000.000000004,1511048.1120000002,14 January 2018,2258013.9600000004,2258013.9600000004,1,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.488000000000001,
1953,BEST PICTURE,Romulus Films,Moulin Rouge,,1,0,1,1,1,1,1952,1951,1950,tt0044926,Moulin Rouge,1952.0,119.0,7.1,4617.0,nm0001379,"nm0478761,nm0892044,nm0001379",nm0001379,nm0001379,1906.0,47.0,nm0001379,0,Moulin Rouge,1953-04-10,Not Rated,,14194285.714285715,,,,30167.588571428572,4,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.462857142857143,1.0
1986,BEST PICTURE,"John Foreman, Producer",Prizzi'S Honor,,1,1,0,1,1,0,1985,1984,1983,tt0089841,Prizzi'S Honor,1985.0,130.0,6.7,21495.0,nm0001379,"nm0174410,nm0730027",nm0001379,nm0001379,1906.0,80.0,nm0001379,0,Prizzi's Honor,1985-06-14,R,84.0,,9725216.946569346,16 June 1985,61222821.15153286,61222821.15153286,6,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.296642335766424,
1942,BEST PICTURE,Warner Brothers,One Foot In Heaven,,0,0,0,0,0,0,1941,1940,1939,tt0033980,One Foot In Heaven,1941.0,108.0,6.8,1024.0,nm0710924,"nm0732452,nm0817771",nm0710924,nm0710924,1898.0,44.0,nm0710924,0,One Foot in Heaven,1941-11-01,Approved,,,,,,,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1942,BEST PICTURE,Warner Brothers,Sergeant York,,1,1,0,1,1,0,1941,1940,1939,tt0034167,Sergeant York,1941.0,134.0,7.7,14352.0,nm0001328,"nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633",nm0001328,nm0001328,1896.0,46.0,nm0001328,0,Sergeant York,1941-09-27,Passed,,22445656.05095542,,,262323745.0394905,262372468.14573252,9,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1942,BEST PICTURE,Rko Radio,Suspicion,,0,0,1,0,0,0,1941,1940,1939,tt0034248,Suspicion,1941.0,99.0,7.4,29760.0,nm0000033,"nm0710723,nm0365661,nm0720904,nm0075324",nm0000033,nm0000033,1899.0,43.0,nm0000033,0,Suspicion,1941-11-14,Not Rated,83.0,17683970.445859876,,,,,11,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.032611464968156,
1946,BEST PICTURE,Selznick International Pictures,Spellbound,,0,1,0,0,1,0,1945,1944,1943,tt0038109,Spellbound,1945.0,111.0,7.6,40192.0,nm0000033,"nm0372942,nm4465001,nm0534191,nm0739676,nm0761573",nm0000033,nm0000033,1899.0,47.0,nm0000033,0,Spellbound,1945-12-28,Approved,,23461453.155164838,,,,262776.26373626373,12,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.830329670329672,
1943,BEST PICTURE,Warner Brothers,Kings Row,,0,0,0,0,1,0,1942,1941,1940,tt0034946,Kings Row,1942.0,127.0,7.5,3671.0,nm0939992,"nm0732452,nm0068672",nm0939992,nm0939992,1883.0,60.0,nm0939992,0,Kings Row,1942-04-18,Passed,,,,,,75856166.62721895,4,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1943,BEST PICTURE,Samuel Goldwyn Productions,The Pride Of The Yankees,,1,0,1,0,0,0,1942,1941,1940,tt0035211,The Pride Of The Yankees,1942.0,128.0,7.7,9225.0,nm0939992,"nm0842485,nm0542534,nm0302904,nm0750357,nm0493071,nm0732452",nm0939992,nm0939992,1883.0,60.0,nm0939992,0,The Pride of the Yankees,1943-03-05,Approved,,,,,,,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
1944,BEST PICTURE,Paramount,For Whom The Bell Tolls,,1,1,1,1,0,0,1943,1942,1941,tt0035896,For Whom The Bell Tolls,1943.0,170.0,6.9,7803.0,nm0939992,"nm0629580,nm0002133,nm0111313,nm0534221",nm0939992,nm0939992,1883.0,61.0,nm0939992,0,For Whom the Bell Tolls,1943-07-16,Passed,,43398620.68965518,,,,,7,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,2.0
1943,BEST PICTURE,Mercury,The Magnificent Ambersons,,0,0,0,1,0,0,1942,1941,1940,tt0035015,The Magnificent Ambersons,1942.0,88.0,7.7,20711.0,"nm0281381,nm0936404,nm0000080","nm0850483,nm0000080,nm0001072,nm0608986",nm0281381,nm0281381,1892.0,51.0,nm0281381,0,The Magnificent Ambersons,1942-07-10,Not Rated,93.0,12660071.005917162,,,,,7,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.894201183431955,
